asin	reviewerID	overall	reviewTime
B000KCHZK6	A1T7IB6NJ3KZFB	3.0	2007-01-31
B000KCHZK6	AAF79GJFCWV81	5.0	2014-03-14
B000KCHZK6	A3GRN6J64F2C3X	4.0	2007-04-18
B000KCHZK6	A1YN0TL1C5L7OE	5.0	2010-05-12
B000KCHZK6	A14BTJRH9VNLJJ	3.0	2013-02-23
B000KCHZK6	A2ULSA0IRUE09E	5.0	2007-02-15
B000KCHZK6	A2R6RA8FRBS608	5.0	2007-10-22
B000KCHZK6	A1QEWOSV05RYEO	4.0	2007-02-10
B000KCHZK6	A3T4JO848Y08UC	5.0	2007-02-03
B000KCHZK6	A9Q28YTLYREO7	2.0	2007-02-03
B000KCHZK6	A3TXWIDMKRYG3J	4.0	2009-08-12
B000KCHZK6	AX4YRE7TNL6UB	5.0	2007-02-05
B000KCHZK6	A70YTUFJY5HXN	5.0	2007-01-30
B000KCHZK6	A2GU72RZHYA9TR	2.0	2007-02-13
B000KCHZK6	A1GN8UJIZLCA59	4.0	2007-01-30
B000KCHZK6	A66636BCQC0P4	5.0	2007-03-08
B000KCHZK6	A3AVJCB1ZD6ZY5	5.0	2007-07-02
B000KCHZK6	AD3VJNKDVFDYG	4.0	2013-06-05
B000KCHZK6	A3O8YT41TDXL0B	5.0	2007-03-13
B000KCHZK6	A155KXFRZCA7C	5.0	2007-02-08
B000KCHZK6	A1LHAXBM5GBJS2	4.0	2007-01-30
B000KCHZK6	A1FL8SCJUFM4H4	5.0	2007-03-02
B000KCHZK6	A3SWWXWV1WDZ68	1.0	2007-01-30
B000KCHZK6	AXHMUN6GC0WEH	3.0	2007-02-06
B000KCHZK6	A25JHXYK10F0A6	4.0	2007-02-11
B000KCHZK6	AUHD013KRNJRO	1.0	2007-01-30
B000KCHZK6	A2TTIHW27AXI8M	2.0	2007-02-12
B000KCHZK6	A3L9E0BGZQF5SQ	2.0	2007-01-30
B004PNCMTK	AMP7TQRWAIE84	4.0	2012-10-03
B004PNCMTK	A3HU0B9XUEVHIM	5.0	2012-12-02
B004PNCMTK	A23M4BV6I1GGYC	5.0	2012-07-31
B004PNCMTK	ATJCKJB5TW8BJ	5.0	2013-04-17
B004PNCMTK	A2LF922BF8GQK2	5.0	2012-11-28
B004PNCMTK	A3V4CL53QT9X7N	4.0	2012-08-31
B004PNCMTK	A11EVW999P0971	5.0	2013-03-28
B004PNCMTK	A24N1BAS3CU27H	5.0	2012-07-31
B004PNCMTK	AE31M52VLKOG6	5.0	2012-07-31
B004PNCMTK	A2I2A7N3OCPNW4	5.0	2012-07-31
B004PNCMTK	A13LQXSU90UCWS	3.0	2013-11-30
B004PNCMTK	A1Q2GLZXL2CNJ8	3.0	2012-10-14
B0000026KZ	A1ZDY7A29C15JY	2.0	2004-01-17
B0000026KZ	A38TSW0CGV982H	5.0	2006-03-29
B0000026KZ	A17ZLPBIOB6GB8	5.0	2003-10-02
B0000026KZ	A272DQW5203TBN	5.0	2011-02-21
B0000026KZ	A2X7NBUETXC19E	3.0	2009-08-28
B0000026KZ	A3M86Z0R3UG2CF	3.0	2001-03-03
B0000026KZ	A1FZA9C5MVIWHE	5.0	2000-06-24
B0000026KZ	A2WQY1B8ZS7QRZ	4.0	2006-01-01
B0000026KZ	AV4D30FUSOZH3	4.0	2004-04-24
B0000026KZ	A5R3U8ZSFKAL4	2.0	2006-03-16
B0000026KZ	A23Q1T4MXZHFM7	5.0	2001-01-27
B0000026KZ	A2U80IPZXN5V1U	3.0	2011-06-12
B0000026KZ	A3SFN7ECK78CEV	1.0	2002-08-23
B003Y3XTJO	A3EBHHCZO6V2A4	5.0	2011-06-24
B003Y3XTJO	A2SXJZGMY90RZN	5.0	2014-01-18
B003Y3XTJO	A1IIUCG9TJFUWS	5.0	2011-06-21
B003Y3XTJO	A20DZX38KRBIT8	1.0	2013-05-18
B003Y3XTJO	A2NA6VPXNOY5LR	5.0	2011-06-22
B003Y3XTJO	A13XGH1V3BQPJI	4.0	2014-03-20
B003Y3XTJO	A1QOYWEU4UPUML	5.0	2014-07-03
B003Y3XTJO	A3NZQ0KTNYMVGL	5.0	2011-07-19
B003Y3XTJO	A3E2FGR7OTA351	5.0	2011-12-05
B005DCAECE	A2YDSDW61A7JCW	3.0	2014-04-19
B005DCAECE	A3NNZW2PK7V2BR	3.0	2014-06-15
B005DCAECE	A3HNPEFZFFLUHY	4.0	2014-04-09
B005DCAECE	A2XLYJIQHITC3X	4.0	2014-01-26
B005DCAECE	A35PBET6ASHY7J	5.0	2013-05-16
B007PXZCP8	A3LOOSHZEW2HIL	5.0	2012-11-05
B007PXZCP8	A24YHKCMAKTCZQ	4.0	2013-10-08
B007PXZCP8	A3PCTD8QM1BIXI	5.0	2013-09-05
B007PXZCP8	A3HNPEFZFFLUHY	4.0	2014-01-15
B007PXZCP8	AMBD1QDCZNYUT	5.0	2013-01-27
B007PXZCP8	A3KQI694I9KL5L	5.0	2013-12-18
B007PXZCP8	A29O0RTLQBLMYP	5.0	2014-06-21
B0000029I0	A1E3N1GKATTQ0	4.0	2001-06-20
B0000029I0	A14DHJGIUSYKP6	5.0	2003-07-27
B0000029I0	A25NMMI7AH30W2	3.0	2005-04-05
B0000029I0	A2ETZ7GF5B1712	4.0	2009-02-27
B0000029I0	A3C6ZCBUNXUT7V	3.0	2004-12-22
B0000029I0	ADCFUY7WTZA6A	5.0	2005-07-26
B0000029I0	AY30ELGA079AS	4.0	2004-12-16
B0000029I0	AFANYOVFD2AE	5.0	2006-05-30
B0000029I0	ALII89JQW1EML	5.0	2014-03-19
B0000029I0	A1UQQ995IUT7VT	4.0	2004-04-16
B0000029I0	A3LLZDD7U0TAZP	5.0	2004-06-16
B00C591KO4	A1BX06Z8YC3RLS	5.0	2013-07-01
B00C591KO4	AE51IBCJ1LQQD	5.0	2013-10-02
B00C591KO4	A3KQI694I9KL5L	5.0	2013-05-07
B00C591KO4	A1B1B68XXFLUGC	4.0	2013-08-24
B00C591KO4	A1QEWOSV05RYEO	4.0	2013-04-02
B00C591KO4	A9Q28YTLYREO7	4.0	2013-06-27
B00C591KO4	A2GN4BPR465KFS	5.0	2013-06-03
B000008J2B	A1YC9XEDFKXPLK	5.0	2004-09-22
B000008J2B	A28FNKCGFS03VL	4.0	2007-09-02
B000008J2B	A10VZCRBK21KX7	5.0	2011-09-21
B000008J2B	A31U2QT7SAL7K	3.0	2003-10-05
B000008J2B	AV5G37VFE5NVD	3.0	2009-01-08
B000008J2B	A5V97TZZOSUUK	5.0	2005-02-28
B00000DG18	A2SXSNT0T9XGQE	4.0	2001-10-26
B00000DG18	A5DIAZ5GT3MC	4.0	2004-08-19
B00000DG18	AD65VRJZIUKKV	5.0	2005-07-16
B00000DG18	A3C6ZCBUNXUT7V	4.0	2004-12-03
B00000DG18	A1NI0VOVXZBM7Y	4.0	2010-01-21
B00000DG18	AJHVNBO7RK8BR	3.0	2001-02-28
B00000DG18	A1D1B70RV0BVMV	4.0	2007-09-18
B00000DG18	A18FY49BSITVTL	3.0	2001-09-05
B00000DG18	AEJMORY9FL6PI	4.0	2000-10-12
B0007VBF24	A1MXPWDS7SVQN1	5.0	2005-04-06
B0007VBF24	A1JJ74IAKZMP6G	5.0	2006-07-28
B0007VBF24	A3PGGPL7FM9F81	4.0	2005-06-12
B0007VBF24	A2RWGW6TGUX7E5	5.0	2013-01-16
B0007VBF24	A1EZHHHUFALJUQ	5.0	2005-09-25
B0007VBF24	A1EYYHM5R678I4	2.0	2014-04-09
B0007VBF24	A11J3144NAHA2Y	4.0	2013-05-28
B0007VBF24	A3BMRSE8N1858V	5.0	2006-05-19
B000002MJ0	A3VHHFMJWRCTOS	5.0	2007-06-07
B000002MJ0	AIA05H6QPZPMA	5.0	2000-07-13
B000002MJ0	AC15KT9GCUHW4	5.0	2000-02-16
B000002MJ0	AWUMLV72KTL8O	5.0	2011-06-10
B000002MJ0	A3LJ0OBQU01LCL	5.0	2001-01-06
B000002MJ0	A275DIY2RW2YQS	5.0	2004-10-22
B000002MJ0	A4VVYYB68NL4Z	4.0	2008-02-13
B000002MJ0	A3TMC7AMWFM68R	5.0	2002-09-30
B000002MJ0	A19YHEBK099R7U	5.0	2008-04-07
B000002MJ0	A2KUXPRQMR2OET	5.0	2014-05-11
B000002MJ0	A2X1KFF723P5EW	5.0	2003-03-06
B000002MJ0	A3MH7HTSGWRCJ0	3.0	2007-05-25
B000002MJ0	A3SI83LHXQCVS2	4.0	2007-01-07
B00004UART	A1HCCW38EQQBTY	4.0	2014-06-13
B00004UART	A3M88RCAR2T804	5.0	2000-08-23
B00004UART	A1LFRJ3CSQFCI6	5.0	2011-07-12
B00004UART	A5KYDSIJXKA	5.0	2001-01-04
B00004UART	A3ADFUS74MLPMA	5.0	2000-07-27
B00004UART	A1QXCQZFXMDAPA	5.0	2014-07-01
B00004UART	A1PLX7O7HW809U	5.0	2000-11-15
B00004UART	A1IWWRZJOXOSYP	4.0	2001-02-16
B00004UART	A2WKKTVYS5H61M	5.0	2001-02-08
B00004UART	A3LZGLA88K0LA0	5.0	2000-08-02
B00004UART	A281NPSIMI1C2R	5.0	2002-07-01
B000000OME	A3HU0B9XUEVHIM	5.0	2009-05-25
B000000OME	A28QSPI70EMHPT	5.0	2005-11-13
B000000OME	AZPWAXJG9OJXV	5.0	2003-01-27
B000000OME	A3M362J5627PZV	3.0	2000-04-21
B000000OME	A26NLSTT75FMJM	2.0	2007-11-22
B000000OME	A39GW5CBWTIWAZ	3.0	2010-04-13
B000001FC0	A252HNVAZENVNE	5.0	2003-12-05
B000001FC0	A2L057BZMTZM81	5.0	2002-03-30
B000001FC0	A31HTN51QNSQ3F	5.0	2005-02-20
B000001FC0	A1V1H3JX5VAMCS	4.0	2006-06-22
B000001FC0	A1HY614U3POCCO	5.0	2006-10-26
B000001FC0	A1NVEW628JUS2Y	3.0	2003-06-07
B000001FC0	A1RX5ERL0QIZ3U	4.0	2006-07-08
B000001FC0	A1U11PS71ML0YJ	5.0	2007-05-01
B000001FC0	A3EJYJC25OJVKK	5.0	2002-03-29
B000001FC0	A1ZTW26VSRZCS0	5.0	2013-11-22
B000001FC0	A36NUDST4Y5JBA	5.0	2005-09-16
B000001FC0	A264CMSE6CYHTF	5.0	2007-07-28
B000001FC0	A9Y6B6OWUNHEW	5.0	2001-11-13
B000001FC0	A1EAFFJQ2NDHGC	4.0	2009-06-02
B000001FC0	A192KN1POM24YV	5.0	2009-03-16
B000001FC0	A2C7BOQVFH1HLE	4.0	2010-03-31
B000001FC0	A33TRNCQK4IUO7	4.0	2006-04-23
B000001FC0	A1ST1XBL6EQTBV	5.0	2006-01-04
B000001FC0	A3HMC6OUSZRQKK	4.0	2006-07-03
B000001FC0	A3EOO2W322D4A8	5.0	2000-09-07
B000001FC0	A1OU2JGCPQBKH0	5.0	2004-01-21
B000001FC0	A3DXVYD2TQHWGD	4.0	2001-11-12
B000001FC0	A2KTHPGHWB8BUU	5.0	2000-10-13
B000001FC0	A3SV72ZAHH2IDH	5.0	2006-09-16
B000001FC0	A3KS3KMWQGUIQH	5.0	2011-01-17
B000001FC0	A3KQLV5QJUGE95	5.0	2009-08-08
B000001FC0	A2NS6Q2RCOHARR	4.0	2006-03-12
B000001FC0	A28AIG15GAA581	5.0	2006-02-19
B000001FC0	A2NJO6YE954DBH	5.0	2005-09-19
B000001FC0	A1Y7RWE61JYBF2	3.0	2011-01-29
B000001FC0	ARCV0CKMSKYU0	5.0	2005-02-19
B000001FC0	AV5G37VFE5NVD	5.0	2006-07-05
B000001FC0	AFYU5LXHZO5M3	5.0	2003-09-07
B000001FC0	A2XEP0JCEZPQMN	5.0	2010-09-14
B0000025AK	A2YARCE69AJTVB	4.0	2005-12-11
B0000025AK	AE42JLYPXUI45	4.0	2005-08-18
B0000025AK	A2DS532SLTFWFK	5.0	2005-07-17
B0000025AK	A3RC3AK8UN89I9	5.0	2001-05-09
B0000025AK	A2JAKHFYI88ZX0	5.0	2005-08-11
B0000025AK	A17FAH2TRP1FIV	5.0	2013-06-20
B0000025AK	A1FML9FCUPV6TI	5.0	2002-05-01
B0000025AK	A3TETPLQ10E0Y9	3.0	2002-12-12
B0000025AK	A1TU1CK2R53CEF	5.0	2010-07-29
B0000025AK	A3LZGLA88K0LA0	4.0	2012-08-21
B0000025AK	A2VXQL36IFQGKZ	5.0	1999-02-24
B0000025AK	A37Y9UJBF3C32C	5.0	2009-07-20
B0000025AK	A1MG6W77QCSCV1	5.0	2005-09-10
B0000025AK	A3FL6CIO8QIJ2F	5.0	2011-10-22
B0009VK438	A1LFJA7HED1S5T	5.0	2006-03-27
B0009VK438	A2TI8XP8GY1RO1	3.0	2006-03-09
B0009VK438	APEOO1ATR5VHB	4.0	2006-06-26
B0009VK438	A1D1B70RV0BVMV	4.0	2006-03-25
B0009VK438	A2MP9R86K35O3A	5.0	2006-04-03
B0009VK438	A30OJ6WRBY7QLN	4.0	2006-03-24
B0009VK438	A398Z0ZU011ILU	1.0	2006-03-07
B0009VK438	A3BWIE32Q0NDH7	5.0	2006-04-07
B0000025WQ	A20CSFERC3VINT	5.0	2012-04-28
B0000025WQ	AADJXNY9HSKJF	5.0	2002-12-20
B0000025WQ	A2PV6GK1HV54Y9	4.0	2008-10-05
B0000025WQ	A1G0VFQ9198IUF	5.0	2012-07-17
B0000025WQ	AUW8TCRK9EDQ6	5.0	2004-05-21
B0000025WQ	A1IKOYZVFHO1XP	5.0	2008-01-17
B0000025WQ	A2HJT5T0TCMH66	4.0	2004-01-07
B0000025WQ	AE42JLYPXUI45	4.0	2004-01-21
B0000025WQ	A1VHLFIZDBP8LG	5.0	2014-04-09
B0000025WQ	A3HJWZO8FC04F7	4.0	2004-03-06
B0000025WQ	A343WUP274JSP3	5.0	2003-12-21
B0000025WQ	A2P49WD75WHAG5	5.0	2003-08-11
B0000025WQ	A1YQ6QB2127AJ4	5.0	2004-08-08
B0000025WQ	A3ODXXYCQLZBYT	5.0	2003-07-01
B0000025WQ	A2R4HC3Q31P3BH	5.0	2005-03-17
B0000025WQ	A3M16JSEXT9IKR	2.0	2008-01-02
B0000025WQ	A2ELJZ2P32C1HQ	3.0	2012-08-24
B0000025WQ	A3NNZW2PK7V2BR	5.0	2014-06-18
B0000025WQ	A264CMSE6CYHTF	5.0	2007-07-25
B0000025WQ	AXFI7TAWD6H6X	5.0	2004-05-27
B0000025WQ	A146D2LYLICNLS	5.0	2003-03-03
B0000025WQ	A2LLZEUZEOXFXA	4.0	2010-01-11
B0000025WQ	A2C7BOQVFH1HLE	4.0	2008-07-26
B0000025WQ	A3I675GA2O8I59	4.0	2003-04-18
B0000025WQ	A2BO41VARYGTAC	5.0	2001-09-27
B0000025WQ	A2HWD9PTM7RBXN	3.0	2001-07-29
B0000025WQ	A1J5KCZC8CMW9I	4.0	2006-02-14
B0000025WQ	A36LDA9339NE8Q	5.0	2003-12-23
B0000025WQ	A2FWEZ0QS8N7A7	5.0	2005-06-09
B0000025WQ	A2XBGP1I7L3Z0M	5.0	2000-11-23
B0000025WQ	A3SR070FB0C7HU	5.0	2003-02-28
B0000025WQ	A260HDJ5Z8CUX2	5.0	2008-08-01
B0000025WQ	AKBJBAQEZVHGC	5.0	1999-04-01
B0000025WQ	A1CS70DT7ZPCJJ	4.0	2012-07-16
B0000025WQ	A1OBJ2263JCK5	5.0	2003-02-21
B0000025WQ	A2NQUGGYM0DBM1	3.0	2005-05-05
B0000025WQ	A1QJKH114IOM4Y	5.0	2008-02-25
B0000025WQ	A3NM4O7AQWYN2	5.0	2002-02-03
B0000025WQ	A2R6RA8FRBS608	5.0	2006-12-07
B0000025WQ	A20CEW7FCGVB61	4.0	2012-01-10
B0000025WQ	AHN34TYB15NWF	5.0	2008-10-09
B0000025WQ	A256JOUD8X0J7R	5.0	2009-10-04
B0000025WQ	A2B1VGD9APIGS6	5.0	2013-02-23
B0000025WQ	A2U49LUUY4IKQQ	5.0	2005-02-21
B0000025WQ	A2GT65YTNYXBW3	4.0	2011-08-04
B0000025WQ	A3GVAI4X7R1V2Y	5.0	2002-04-10
B0000025WQ	A2WACBI3UZK6Y1	4.0	2003-10-22
B0000025WQ	A1ZGR5OLRH9YON	5.0	2002-07-09
B0000025WQ	A1ASIY5YBEQX8K	5.0	2004-09-10
B0000025WQ	A303U1MOXG5R1F	5.0	2014-04-11
B0000025WQ	A3M2AZ0YXQNMKU	5.0	2007-04-28
B0000025WQ	A3SRBACI3VJD9R	5.0	2009-11-25
B007U20ZQA	A3TRED2IATTY3I	5.0	2013-03-25
B007U20ZQA	A179SPC4TGCWK6	5.0	2013-05-22
B007U20ZQA	A7TZ1KOGA4A01	5.0	2013-09-17
B007U20ZQA	A2WNT0M77XRT81	5.0	2012-11-27
B007U20ZQA	AKV10INYAA0L4	1.0	2012-12-07
B007U20ZQA	ARUKNNAOB3ODQ	5.0	2013-07-15
B007U20ZQA	ANRSF4BSFCRE7	5.0	2013-03-30
B007U20ZQA	A3EUSZL60CXJED	1.0	2012-08-08
B007U20ZQA	A39FOO2PPLK50G	5.0	2013-02-20
B007U20ZQA	A2AJ76N7LS6GN0	5.0	2012-12-17
B007U20ZQA	A5HUEE1HB4LDF	4.0	2013-03-30
B007U20ZQA	A11P8ZZN2NRL27	4.0	2013-05-23
B007U20ZQA	A27YS4JDS7J3IC	5.0	2012-11-02
B000EHPXXI	A1AYEI2SNFPYES	4.0	2006-04-30
B000EHPXXI	AY12DBB0U420B	5.0	2014-03-12
B000EHPXXI	A1J5KCZC8CMW9I	4.0	2006-10-17
B000EHPXXI	A17CP110C6E9KF	5.0	2006-04-12
B000EHPXXI	A2TJT5ULZFJ0YL	5.0	2014-01-27
B000EHPXXI	A1J3X04M5ZI9S0	5.0	2006-04-24
B000EHPXXI	A26DOHWKRZPN8H	5.0	2011-05-10
B000EHPXXI	A3OHHFOE0J8HEO	5.0	2006-06-29
B000EHPXXI	AS8C336DDLSO4	4.0	2009-06-16
B000EHPXXI	A2CPFSZD4JHIZ7	5.0	2009-10-23
B000EHPXXI	A3INN916E4VION	4.0	2007-07-09
B000EHPXXI	A2DZTCCA8VNWZG	2.0	2006-05-02
B00A3OTU5O	A2RG2AID1ULUKY	3.0	2013-03-24
B00A3OTU5O	A2YDSDW61A7JCW	5.0	2012-12-31
B00A3OTU5O	A1HGZ3G5MPPW7O	4.0	2013-03-03
B00A3OTU5O	A20ZESBWOEIYMD	5.0	2012-12-20
B00A3OTU5O	A2XZHXLDPD7KCK	5.0	2013-01-12
B00A3OTU5O	A2KIKPREA8G0QM	4.0	2012-12-18
B00A3OTU5O	A3CQ36YXM8RZ72	3.0	2013-01-26
B00A3OTU5O	A3K8YRUI9ECW8G	4.0	2013-01-20
B00A3OTU5O	A1S3FAW9KHCW4W	5.0	2013-02-01
B00A3OTU5O	A1PJVW2GSF73E7	5.0	2013-02-04
B0000024UX	A2YARCE69AJTVB	4.0	2001-08-24
B0000024UX	A3L2856DIMUXJY	5.0	2012-10-12
B0000024UX	A3EE0H0NWQ9QVL	5.0	2006-09-02
B0000024UX	A3BFJFJRXMWXAX	5.0	2002-10-18
B0000024UX	A62G4QX6XQVLP	4.0	2004-07-18
B0000024UX	A2RJAM98U9KA38	5.0	2011-03-11
B0000024UX	ALR35EFI69S5R	5.0	2000-08-18
B0000024UX	A1V4YEPYLV5LLV	5.0	2006-08-05
B0000024UX	A2VIQ61HJSCWX4	5.0	2009-01-01
B0000024UX	A2582KMXLK2P06	5.0	2007-03-04
B0000024UX	A6AZD9ZHVPS5B	5.0	2000-05-11
B0000024UX	AH2MBL0EXNF8W	5.0	2003-03-05
B0000024UX	A2EENLV6OQ3DYM	4.0	2002-07-12
B0000024UX	A2WLZD9BY669HY	5.0	2000-08-13
B0000024UX	A22STRR368B4S	4.0	2006-02-27
B0000024UX	A4I6G04U8I4T4	5.0	2009-11-13
B0000024UX	ADS5APY1NKTL4	5.0	2007-06-08
B0000024UX	A2KB14WCZ1DVE3	5.0	2002-06-14
B0000024UX	A26NLSTT75FMJM	4.0	2006-10-04
B0000024UX	A2C7BOQVFH1HLE	5.0	2007-09-05
B0000024UX	A2BO41VARYGTAC	5.0	2000-12-28
B0000024UX	A2HWD9PTM7RBXN	5.0	2002-10-17
B0000024UX	A8EDTKSPOMRWK	5.0	2011-03-08
B0000024UX	A3NV0G16V04FYM	5.0	2008-01-21
B0000024UX	A12R54MKO17TW0	5.0	2011-12-14
B0000024UX	A1PGU5A8R550J9	5.0	2010-10-10
B0000024UX	ACNKNZSZQGZ5Q	5.0	2000-03-10
B0000024UX	A3GMS5XLDOIAJF	4.0	2003-10-25
B0000024UX	A3KS3KMWQGUIQH	5.0	2010-12-19
B0000024UX	A2NJO6YE954DBH	5.0	2006-04-11
B0000024UX	A2R6RA8FRBS608	5.0	2008-04-22
B0000024UX	A2DT00ZK4WGOQH	5.0	2011-03-12
B0000024UX	A32DTCFBBB9WIV	5.0	2005-02-02
B0000024UX	A2U49LUUY4IKQQ	5.0	2005-06-10
B0000024UX	A1RJD10TTI568L	5.0	2003-05-19
B0000024UX	A3075RVSKC27HU	5.0	2002-12-23
B0000024UX	A1AQH9I5J6A86G	5.0	2002-05-01
B0000024UX	A2E3IB2ZHJ7QXJ	4.0	2008-09-16
B0000024UX	A232025NAD2H5D	5.0	2013-02-03
B0000024UX	A2EY3OVGI9CGAV	5.0	2013-08-23
B0000024UX	A361RAEN953XE4	5.0	2001-02-05
B0000024UX	A6IM7PYEYP6OA	5.0	2013-04-17
B0000024UX	A1USDS1D8MZJUA	5.0	2013-06-19
B0000024UX	A3GK9LT41X73NC	5.0	2001-12-11
B0000024UX	A1GIIPXONCEEHP	5.0	2005-05-07
B0000024UX	A2IB1UP9VCFV0R	5.0	2014-03-01
B0000024UX	A1S564FBLMJI3X	5.0	2003-06-09
B0000024UX	A2TTIHW27AXI8M	5.0	2003-04-24
B00005V8PI	ASIA7V7CBSKD3	2.0	2006-04-04
B00005V8PI	A2RWGW6TGUX7E5	5.0	2012-03-22
B00005V8PI	A3G8JAOMNY5V4E	5.0	2005-01-11
B00005V8PI	A21IK52XTZGKSG	3.0	2002-03-05
B00005V8PI	A2ITG2SGIC8UOU	3.0	2005-10-23
B00005V8PI	A18OBUSMXVE8R0	5.0	2013-02-02
B00005V8PI	A9F2ZHGO5XJ20	5.0	2008-09-13
B00005V8PI	A3BAE79NXFDXGV	5.0	2005-06-26
B00005V8PI	A1ZH9LWMX5UCFJ	4.0	2003-11-15
B00005V8PI	AIDFLFUKJ657I	5.0	2013-03-11
B00005V8PI	AIWNVK0RMM0Y0	4.0	2004-07-11
B00005V8PI	A3J8ABVGK7ZL6H	5.0	2013-03-21
B00005V8PI	AZVHFS4KQBQTK	5.0	2010-04-18
B00005V8PI	A5A2QE6NECFR5	4.0	2010-10-15
B00000252W	A2YARCE69AJTVB	4.0	2004-12-06
B00000252W	AE42JLYPXUI45	4.0	2005-08-17
B00000252W	AC9XSQR8PQOU2	4.0	2002-07-27
B00000252W	A2DS532SLTFWFK	4.0	2004-11-23
B00000252W	A3I675GA2O8I59	4.0	2003-09-25
B00000252W	A3RC3AK8UN89I9	5.0	2001-05-21
B00000252W	A2JAKHFYI88ZX0	4.0	2005-07-19
B00000252W	A1FML9FCUPV6TI	5.0	2001-08-26
B00000252W	A3TETPLQ10E0Y9	4.0	2002-12-26
B00000252W	A3LZGLA88K0LA0	5.0	2002-10-30
B00000252W	AX4YRE7TNL6UB	4.0	2003-01-13
